position_at,latitude,longitude,address
2020-06-12 16:58:20+00,36.0850977777778,-79.8275288888889,"West Wendover Avenue, Greensboro, NC 27403"
2020-06-12 16:58:32+00,36.0829688888889,-79.8292711111111,"1728 West Wendover Avenue, Greensboro, NC 27409"
2020-06-12 16:58:45+00,36.0803333333333,-79.8301422222222,"269 Green Valley Road, Greensboro, NC 27403"
2020-06-12 16:58:59+00,36.0775822222222,-79.83088,"198 Green Valley Road, Greensboro, NC 27403"
2020-06-12 16:59:35+00,36.07476,-79.8331555555555,"100-104 Green Valley Rd, Greensboro, NC 27403, USA"
2020-06-12 16:59:37+00,36.0747555555556,-79.8332977777778,"3025 West Market Street, Greensboro, NC 27403"
2020-06-12 17:00:07+00,36.0749555555556,-79.8389244444444,"3300-3304 W Market St, Greensboro, NC 27403, USA"
2020-06-12 17:00:35+00,36.075,-79.8450133333333,"West Market Street, Greensboro, NC 27403"
2020-06-12 17:00:38+00,36.07468,-79.8454933333333,"West Market Street, Greensboro, NC 27403"
2020-06-12 17:01:08+00,36.0709688888889,-79.85,"3871 West Market Street, Greensboro, NC 27407"
2020-06-12 17:01:23+00,36.0694044444444,-79.8523288888889,"3901 W Market St, Greensboro, NC 27407, USA"
2020-06-12 17:01:33+00,36.0691222222222,-79.8529866666667,"3910-3917 W Market St, Greensboro, NC 27407, USA"
2020-06-12 17:01:40+00,36.06866,-79.8529777777778,"3901 West Market Street, Greensboro, NC 27407"
2020-06-12 17:01:42+00,36.0685688888889,-79.8528711111111,"3936 West Market Street, Greensboro, NC 27407"
2020-06-12 17:01:45+00,36.0685,-79.8526577777778,"3901 West Market Street, Greensboro, NC 27407"
2020-06-12 17:01:47+00,36.06852,-79.8525511111111,"3901 West Market Street, Greensboro, NC 27407"
2020-06-12 17:02:15+00,36.0687711111111,-79.8523911111111,"Walker Avenue, Greensboro, NC 27407"
2020-06-12 17:09:35+00,36.0688355555556,-79.8523288888889,"Walker Avenue, Greensboro, NC 27407"
2020-06-12 17:09:41+00,36.0691377777778,-79.8521244444444,"Walker Avenue, Greensboro, NC 27407"
2020-06-12 17:09:48+00,36.0691844444444,-79.8517422222222,"Walker Avenue, Greensboro, NC 27403"
2020-06-12 17:10:31+00,36.0692177777778,-79.8479288888889,"499 South Holden Road, Greensboro, NC 27407"
2020-06-12 17:10:33+00,36.0693622222222,-79.8478222222222,"409 South Holden Road, Greensboro, NC 27403"
2020-06-12 17:11:03+00,36.07246,-79.8476266666667,"101 South Holden Road, Greensboro, NC 27407"
2020-06-12 17:11:06+00,36.0726777777778,-79.8475822222222,"101 South Holden Road, Greensboro, NC 27407"
2020-06-12 17:11:09+00,36.0729533333333,-79.8473244444445,"3800 West Market Street, Greensboro, NC 27407"
2020-06-12 17:11:27+00,36.0749933333333,-79.8445955555556,"West Market Street, Greensboro, NC 27403"
2020-06-12 17:11:30+00,36.0750777777778,-79.8439822222222,"3511 W Market St, Greensboro, NC 27403, USA"
2020-06-12 17:12:00+00,36.07476,-79.8376,"3237 West Market Street, Greensboro, NC 27403"
2020-06-12 17:12:30+00,36.0744733333333,-79.8313511111111,"2808 West Market Street, Greensboro, NC 27403"
2020-06-12 17:13:00+00,36.0742955555556,-79.8266222222222,"100 Ridgeway Drive, Greensboro, NC 27403"
2020-06-12 17:13:30+00,36.0740777777778,-79.8213777777778,"2228 West Market Street, Greensboro, NC 27403"
2020-06-12 17:13:58+00,36.0738711111111,-79.8161688888889,"1761 West Market Street, Greensboro, NC 27403"
2020-06-12 17:14:27+00,36.0736777777778,-79.8111111111111,"1320 W Market St, Greensboro, NC, USA"
2020-06-12 17:14:29+00,36.0737844444444,-79.8110222222222,"100 Aberdeen Terrace, Greensboro, NC 27403"
2020-06-12 17:14:31+00,36.0739511111111,-79.8109955555556,"100 Aberdeen Terrace, Greensboro, NC 27403"
